,Max virus (increase),Max Virus (decrease),Max dead cells (increase),Max dead cells (decrease),Min tissue (increase),Min tissue (decrease),Max inflam. macs (increase),Max inflam. macs (decrease),Max T cells (increase),Max T cells (decrease),Max IL-6 (increase),Max IL-6 (decreased),Max IFN I (increased),Max IFN I (decreased),IFN I exposure (increase),IFN I exposure (decrease)
stoch_C,0.491913253,-0.306441764,0.01563784,-0.010618132,0.002681361,-0.00063001,0.111695845,-0.103636002,0.034691927,-0.055166383,0.100968494,-0.094805277,0.012039991,-0.013466807,0.021551876,-0.037186039
avo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L_U_0,8.73E-07,-3.20E-08,-2.57E-06,2.80E-06,1.05E-06,-8.12E-07,4.23E-05,-4.02E-05,-4.00E-06,4.44E-06,3.79E-05,-3.77E-05,3.94E-06,-3.58E-06,-0.00015321,-1.01E-05
L_B_0,-6.64E-08,6.60E-08,-8.97E-07,8.97E-07,2.34E-07,-2.34E-07,1.07E-05,-1.07E-05,-1.24E-06,1.24E-06,9.70E-06,-9.70E-06,9.69E-07,-9.69E-07,-2.61E-06,2.60E-06
p_L_I,3.49E-06,-3.50E-06,-9.45E-05,9.46E-05,-1.69E-06,1.69E-06,3.41E-05,-3.41E-05,-0.00017802,0.000178074,0.000690493,-0.000690483,3.84E-06,-3.84E-06,-0.000116252,0.000113782
eta_L_I,-3.01E-06,3.29E-06,8.43E-05,-9.25E-05,1.44E-06,-1.57E-06,-2.97E-05,3.26E-05,0.000161422,-0.000177471,-0.000586723,0.000641219,-3.34E-06,3.65E-06,9.97E-05,-0.000113589
p_L_MPhi,0.000267333,-0.000272614,-0.004046959,0.00396988,-0.000118866,0.000121631,0.002851395,-0.00283449,-0.00652135,0.006358383,0.050534539,-0.050263447,0.000313809,-0.000313757,-0.005541876,0.005247009
eta_L_MPhi,-0.000247831,0.000267126,0.003722176,-0.004178997,0.000110102,-0.000118434,-0.002588736,0.002864205,0.005974135,-0.006751734,-0.04551416,0.05028957,-0.000286,0.000314826,0.004828159,-0.005641838
p_L_M,9.40E-06,-9.46E-06,-0.000389839,0.000390601,-3.92E-06,3.92E-06,0.00011371,-0.000113836,-0.001157086,0.00116024,0.001643767,-0.001643791,1.22E-05,-1.22E-05,-0.001036075,0.001011788
eta_L_M,-8.27E-06,9.01E-06,0.000339853,-0.000371573,3.42E-06,-3.74E-06,-9.97E-05,0.000109156,0.001011712,-0.001105597,-0.001435528,0.001572861,-1.07E-05,1.17E-05,0.000887727,-0.000989096
k_lin_L,-0.000267457,0.0002878,0.004325934,-0.004859869,0.000121529,-0.000131025,-0.002708952,0.002992626,0.007486391,-0.00844824,-0.049889583,0.055398121,-0.000301527,0.000331466,0.006805103,-0.007613732
k_int_L,-0.000202161,0.000213677,0.003176021,-0.003458087,8.94E-05,-9.45E-05,-0.002124418,0.002294952,0.00549483,-0.00600012,-0.001941395,0.002095164,-0.000234446,0.000252328,0.004680296,-0.005124078
k_B_L,0.00028037,-0.000287256,-0.004530714,0.004461004,-0.000123428,0.00012643,0.003041693,-0.003024529,-0.007856158,0.007705149,0.00277715,-0.002762493,0.000333588,-0.000333606,-0.006726334,0.006574737
k_U_L,-7.42E-05,7.57E-05,0.00117645,-0.001213463,3.28E-05,-3.34E-05,-0.000784529,0.000807972,0.002036689,-0.002102288,-0.000717957,0.000737228,-8.65E-05,8.89E-05,0.001733632,-0.001796062
R_L_N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R_L_T,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R_L_M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MM_L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G_U_0,-2.22E-15,2.26E-14,-5.22E-15,7.11E-15,2.44E-15,8.88E-16,1.22E-13,-9.50E-14,-1.43E-14,1.27E-14,1.07E-13,-9.55E-14,9.77E-15,-1.11E-15,2.89E-13,1.67E-12
G_B_0,1.13E-14,4.66E-15,-3.44E-15,-2.78E-15,2.22E-16,1.11E-15,7.33E-15,5.11E-15,-9.99E-16,1.78E-15,4.00E-15,8.88E-16,4.00E-15,1.78E-15,1.32E-12,7.85E-13
p_G_MPhi_I,-6.53E-14,7.39E-14,-8.79E-12,8.38E-12,1.41E-13,-1.32E-13,2.32E-11,-2.20E-11,-2.74E-09,1.85E-09,2.12E-11,-2.02E-11,2.49E-12,-2.36E-12,1.47E-05,-1.43E-05
eta_G_MPhi,4.60E-14,-2.79E-14,7.70E-12,-8.87E-12,-1.23E-13,1.46E-13,-2.01E-11,2.32E-11,1.78E-09,-2.88E-09,-1.84E-11,2.12E-11,-2.16E-12,2.50E-12,-1.36E-05,1.54E-05
p_G_M,0,3.91E-14,-7.97E-13,7.91E-13,1.13E-14,-9.21E-15,1.67E-12,-1.64E-12,1.77E-09,-2.89E-09,1.52E-12,-1.51E-12,1.76E-13,-1.62E-13,-9.57E-06,1.04E-05
eta_G_M,2.38E-14,3.11E-15,7.51E-13,-8.38E-13,-7.66E-15,1.33E-14,-1.57E-12,1.75E-12,-2.71E-09,1.83E-09,-1.43E-12,1.60E-12,-1.58E-13,1.88E-13,9.82E-06,-1.00E-05
k_lin_G,1.24E-14,-4.39E-14,8.75E-12,-1.02E-11,-1.31E-13,1.49E-13,-2.15E-11,2.49E-11,-6.44E-09,2.28E-09,-1.97E-11,2.27E-11,-2.34E-12,2.69E-12,1.80E-05,-1.58E-05
k_int_G,2.93E-14,-5.88E-15,1.15E-12,-1.17E-12,-1.67E-14,2.04E-14,-2.96E-12,3.04E-12,1.83E-12,-1.87E-12,-2.72E-12,2.77E-12,-3.12E-13,3.25E-13,7.18E-12,-5.58E-12
k_B_G,-4.05E-14,5.33E-14,-9.64E-12,9.15E-12,1.57E-13,-1.49E-13,2.50E-11,-2.37E-11,-1.54E-11,1.46E-11,2.29E-11,-2.17E-11,2.69E-12,-2.55E-12,-4.31E-11,4.25E-11
k_U_G,2.60E-14,-1.74E-14,7.72E-12,-8.82E-12,-1.26E-13,1.47E-13,-2.00E-11,2.29E-11,1.23E-11,-1.41E-11,-1.83E-11,2.09E-11,-2.16E-12,2.47E-12,3.52E-11,-3.88E-11
R_G_M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MM_G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C_U_0,-0.080699316,0.093166445,-0.004060782,0.003907861,-0.000545625,0.000651996,-0.025348763,0.026972453,-0.006745944,0.006427965,-0.023056758,0.024460776,-0.003044118,0.003102389,-0.011347045,0.011623934
C_B_0,-2.64E-05,2.65E-05,-3.88E-06,3.90E-06,-1.42E-06,1.43E-06,-1.49E-05,1.49E-05,-2.34E-06,2.35E-06,-1.34E-05,1.35E-05,-1.89E-06,1.90E-06,-1.33E-06,1.32E-06
p_C_M,-0.015792017,0.016750253,0.000182088,0.000256184,-5.62E-06,1.17E-05,-0.003222956,0.003277501,-0.005329464,0.00518355,-0.002962591,0.003008983,-0.000401411,0.000404585,0.001254203,-0.002934089
eta_C_M,0.01592731,-0.016596277,0.000234503,0.000204412,1.10E-05,-5.74E-06,0.003119934,-0.003390736,0.004939482,-0.005612984,0.002864432,-0.003116544,0.000385202,-0.000422418,-0.002789065,0.001287085
